YR-MON,Silver,Silver-1,Silver-2,Silver-3,Silver-4,Silver-5,Silver-6,Copper,Copper-1,Copper-2,Copper-3,Copper-4,Copper-5,Copper-6,Steel,Steel-1,Steel-2,Steel-3,Steel-4,Steel-5,Steel-6,PriceIncrDate
2014-Mar,-0.004,0.046,0.015,-0.055,-0.053,-0.029,0.033,-0.07,-0.022,-0.002,0.034,-0.023,0.005,-0.003,-0.015,-0.013,0.024,0.016,0.018,0.004,-0.006,0
2014-Apr,-0.049,-0.004,0.046,0.015,-0.055,-0.053,-0.029,0.012,-0.07,-0.022,-0.002,0.034,-0.023,0.005,0.014,-0.015,-0.013,0.024,0.016,0.018,0.004,0
2014-May,-0.018,-0.049,-0.004,0.046,0.015,-0.055,-0.053,0.022,0.012,-0.07,-0.022,-0.002,0.034,-0.023,-0.005,0.014,-0.015,-0.013,0.024,0.016,0.018,1
2014-Jun,0.022,-0.018,-0.049,-0.004,0.046,0.015,-0.055,-0.006,0.022,0.012,-0.07,-0.022,-0.002,0.034,-0.004,-0.005,0.014,-0.015,-0.013,0.024,0.016,1
2014-Jul,0.058,0.022,-0.018,-0.049,-0.004,0.046,0.015,0.044,-0.006,0.022,0.012,-0.07,-0.022,-0.002,0,-0.004,-0.005,0.014,-0.015,-0.013,0.024,0
2014-Aug,-0.054,0.058,0.022,-0.018,-0.049,-0.004,0.046,-0.022,0.044,-0.006,0.022,0.012,-0.07,-0.022,0.001,0,-0.004,-0.005,0.014,-0.015,-0.013,1
2014-Sep,-0.066,-0.054,0.058,0.022,-0.018,-0.049,-0.004,-0.022,-0.022,0.044,-0.006,0.022,0.012,-0.07,0.004,0.001,0,-0.004,-0.005,0.014,-0.015,1
2014-Oct,-0.07,-0.066,-0.054,0.058,0.022,-0.018,-0.049,-0.02,-0.022,-0.022,0.044,-0.006,0.022,0.012,-0.015,0.004,0.001,0,-0.004,-0.005,0.014,1
2014-Nov,-0.071,-0.07,-0.066,-0.054,0.058,0.022,-0.018,-0.008,-0.02,-0.022,-0.022,0.044,-0.006,0.022,-0.018,-0.015,0.004,0.001,0,-0.004,-0.005,0
2014-Dec,0.017,-0.071,-0.07,-0.066,-0.054,0.058,0.022,-0.039,-0.008,-0.02,-0.022,-0.022,0.044,-0.006,-0.01,-0.018,-0.015,0.004,0.001,0,-0.004,0
2015-Jan,0.053,0.017,-0.071,-0.07,-0.066,-0.054,0.058,-0.092,-0.039,-0.008,-0.02,-0.022,-0.022,0.044,-0.007,-0.01,-0.018,-0.015,0.004,0.001,0,0
2015-Feb,-0.015,0.053,0.017,-0.071,-0.07,-0.066,-0.054,-0.01,-0.092,-0.039,-0.008,-0.02,-0.022,-0.022,-0.059,-0.007,-0.01,-0.018,-0.015,0.004,0.001,0
2015-Mar,-0.037,-0.015,0.053,0.017,-0.071,-0.07,-0.066,0.036,-0.01,-0.092,-0.039,-0.008,-0.02,-0.022,-0.019,-0.059,-0.007,-0.01,-0.018,-0.015,0.004,0
2015-Apr,0.006,-0.037,-0.015,0.053,0.017,-0.071,-0.07,0.018,0.036,-0.01,-0.092,-0.039,-0.008,-0.02,-0.021,-0.019,-0.059,-0.007,-0.01,-0.018,-0.015,0
2015-May,0.03,0.006,-0.037,-0.015,0.053,0.017,-0.071,0.047,0.018,0.036,-0.01,-0.092,-0.039,-0.008,-0.013,-0.021,-0.019,-0.059,-0.007,-0.01,-0.018,0
2015-Jun,-0.042,0.03,0.006,-0.037,-0.015,0.053,0.017,-0.075,0.047,0.018,0.036,-0.01,-0.092,-0.039,0.01,-0.013,-0.021,-0.019,-0.059,-0.007,-0.01,1
2015-Jul,-0.064,-0.042,0.03,0.006,-0.037,-0.015,0.053,-0.067,-0.075,0.047,0.018,0.036,-0.01,-0.092,-0.01,0.01,-0.013,-0.021,-0.019,-0.059,-0.007,0
2015-Aug,-0.009,-0.064,-0.042,0.03,0.006,-0.037,-0.015,-0.061,-0.067,-0.075,0.047,0.018,0.036,-0.01,-0.026,-0.01,0.01,-0.013,-0.021,-0.019,-0.059,0
2015-Sep,-0.015,-0.009,-0.064,-0.042,0.03,0.006,-0.037,0.016,-0.061,-0.067,-0.075,0.047,0.018,0.036,-0.013,-0.026,-0.01,0.01,-0.013,-0.021,-0.019,0
2015-Oct,0.067,-0.015,-0.009,-0.064,-0.042,0.03,0.006,0.001,0.016,-0.061,-0.067,-0.075,0.047,0.018,-0.047,-0.013,-0.026,-0.01,0.01,-0.013,-0.021,0
2015-Nov,-0.076,0.067,-0.015,-0.009,-0.064,-0.042,0.03,-0.089,0.001,0.016,-0.061,-0.067,-0.075,0.047,-0.035,-0.047,-0.013,-0.026,-0.01,0.01,-0.013,1
2015-Dec,-0.031,-0.076,0.067,-0.015,-0.009,-0.064,-0.042,-0.033,-0.089,0.001,0.016,-0.061,-0.067,-0.075,-0.017,-0.035,-0.047,-0.013,-0.026,-0.01,0.01,1
2016-Jan,-0.003,-0.031,-0.076,0.067,-0.015,-0.009,-0.064,-0.034,-0.033,-0.089,0.001,0.016,-0.061,-0.067,0.005,-0.017,-0.035,-0.047,-0.013,-0.026,-0.01,0
2016-Feb,0.075,-0.003,-0.031,-0.076,0.067,-0.015,-0.009,0.031,-0.034,-0.033,-0.089,0.001,0.016,-0.061,-0.002,0.005,-0.017,-0.035,-0.047,-0.013,-0.026,0
2016-Mar,0.023,0.075,-0.003,-0.031,-0.076,0.067,-0.015,0.076,0.031,-0.034,-0.033,-0.089,0.001,0.016,0.016,-0.002,0.005,-0.017,-0.035,-0.047,-0.013,1
2016-Apr,0.054,0.023,0.075,-0.003,-0.031,-0.076,0.067,-0.023,0.076,0.031,-0.034,-0.033,-0.089,0.001,0.051,0.016,-0.002,0.005,-0.017,-0.035,-0.047,1
2016-May,0.039,0.054,0.023,0.075,-0.003,-0.031,-0.076,-0.033,-0.023,0.076,0.031,-0.034,-0.033,-0.089,0.047,0.051,0.016,-0.002,0.005,-0.017,-0.035,0
2016-Jun,0.017,0.039,0.054,0.023,0.075,-0.003,-0.031,-0.007,-0.033,-0.023,0.076,0.031,-0.034,-0.033,0.003,0.047,0.051,0.016,-0.002,0.005,-0.017,0
2016-Jul,0.16,0.017,0.039,0.054,0.023,0.075,-0.003,0.053,-0.007,-0.033,-0.023,0.076,0.031,-0.034,0.001,0.003,0.047,0.051,0.016,-0.002,0.005,0
2016-Aug,-0.014,0.16,0.017,0.039,0.054,0.023,0.075,-0.03,0.053,-0.007,-0.033,-0.023,0.076,0.031,0.007,0.001,0.003,0.047,0.051,0.016,-0.002,0
